,Center,Left,Right,Name,Steering,Throttle,Break,Speed
0,data/IMG/center_2019_05_12_08_56_25_090.jpg,data/IMG/left_2019_05_12_08_56_25_090.jpg,data/IMG/right_2019_05_12_08_56_25_090.jpg,2019_05_12_08_56_25_090.jpg,0.0,0.0,0.0,5.5339540000000004e-05
1,data/IMG/center_2019_05_12_08_56_25_201.jpg,data/IMG/left_2019_05_12_08_56_25_201.jpg,data/IMG/right_2019_05_12_08_56_25_201.jpg,2019_05_12_08_56_25_201.jpg,0.0,0.0,0.0,5.378746999999999e-05
2,data/IMG/center_2019_05_12_08_56_25_326.jpg,data/IMG/left_2019_05_12_08_56_25_326.jpg,data/IMG/right_2019_05_12_08_56_25_326.jpg,2019_05_12_08_56_25_326.jpg,0.0,0.0,0.0,5.420278e-05
3,data/IMG/center_2019_05_12_08_56_25_437.jpg,data/IMG/left_2019_05_12_08_56_25_437.jpg,data/IMG/right_2019_05_12_08_56_25_437.jpg,2019_05_12_08_56_25_437.jpg,0.0,0.0,0.0,5.4075509999999995e-05
4,data/IMG/center_2019_05_12_08_56_25_542.jpg,data/IMG/left_2019_05_12_08_56_25_542.jpg,data/IMG/right_2019_05_12_08_56_25_542.jpg,2019_05_12_08_56_25_542.jpg,0.0,0.0,0.0,5.4360609999999997e-05
5,data/IMG/center_2019_05_12_08_56_25_653.jpg,data/IMG/left_2019_05_12_08_56_25_653.jpg,data/IMG/right_2019_05_12_08_56_25_653.jpg,2019_05_12_08_56_25_653.jpg,0.0,0.0,0.0,5.5432399999999995e-05
6,data/IMG/center_2019_05_12_08_56_25_772.jpg,data/IMG/left_2019_05_12_08_56_25_772.jpg,data/IMG/right_2019_05_12_08_56_25_772.jpg,2019_05_12_08_56_25_772.jpg,0.0,0.0,0.0,5.412467e-05
7,data/IMG/center_2019_05_12_08_56_25_839.jpg,data/IMG/left_2019_05_12_08_56_25_839.jpg,data/IMG/right_2019_05_12_08_56_25_839.jpg,2019_05_12_08_56_25_839.jpg,0.0,0.0,0.0,5.3930319999999996e-05
8,data/IMG/center_2019_05_12_08_56_25_944.jpg,data/IMG/left_2019_05_12_08_56_25_944.jpg,data/IMG/right_2019_05_12_08_56_25_944.jpg,2019_05_12_08_56_25_944.jpg,0.0,0.0,0.0,5.5236800000000006e-05
9,data/IMG/center_2019_05_12_08_56_26_051.jpg,data/IMG/left_2019_05_12_08_56_26_051.jpg,data/IMG/right_2019_05_12_08_56_26_051.jpg,2019_05_12_08_56_26_051.jpg,0.0,0.0,0.0,5.382481e-05
10,data/IMG/center_2019_05_12_08_56_26_164.jpg,data/IMG/left_2019_05_12_08_56_26_164.jpg,data/IMG/right_2019_05_12_08_56_26_164.jpg,2019_05_12_08_56_26_164.jpg,0.0,0.0,0.0,5.412473000000001e-05
11,data/IMG/center_2019_05_12_08_56_26_301.jpg,data/IMG/left_2019_05_12_08_56_26_301.jpg,data/IMG/right_2019_05_12_08_56_26_301.jpg,2019_05_12_08_56_26_301.jpg,0.0,0.0,0.0,5.391826999999999e-05
